final_star,tries_until_dropout,dropout,union_segment,policy,total_fails,total_destroy,max_consecutive_fail,threshold
18,32,1,low_union,baseline,25,4,8,189.93428306022466
17,17,1,low_union,advantage,15,0,10,177.2347139765763
16,20,1,low_union,baseline,16,3,10,192.95377076201385
20,23,1,low_union,advantage,17,1,11,210.46059712816052
20,35,1,low_union,baseline,27,3,8,175.3169325055333
22,34,1,low_union,advantage,26,1,8,175.3172608610164
22,33,1,low_union,baseline,25,1,10,211.58425631014782
17,29,1,low_union,advantage,25,2,8,195.34869458305818
19,29,1,low_union,baseline,24,1,8,170.61051228130097
18,20,1,low_union,advantage,16,1,11,190.8512008717193
17,26,1,low_union,baseline,21,3,8,170.73164614375077
19,21,1,low_union,advantage,17,0,10,170.68540492859486
17,27,1,low_union,baseline,24,1,8,184.83924543132068
18,18,1,low_union,advantage,14,1,9,141.73439510684403
17,13,1,low_union,baseline,11,0,10,145.50164334973934
20,25,1,low_union,advantage,18,2,9,168.75424941518054
18,19,1,low_union,baseline,16,0,10,159.74337759331152
19,22,1,low_union,advantage,18,0,11,186.28494665190547
16,13,1,low_union,baseline,11,1,10,161.83951848957577
17,24,1,low_union,advantage,21,1,7,151.75392597329417
18,24,1,low_union,baseline,20,1,10,209.31297537843108
18,22,1,low_union,advantage,19,0,9,175.4844739902693
23,54,1,low_union,baseline,40,6,7,181.35056409375846
19,24,1,low_union,advantage,20,0,8,151.50503627573087
17,28,1,low_union,baseline,24,2,8,169.11234550949635
21,42,1,low_union,advantage,31,5,7,182.21845179419734
17,13,1,low_union,baseline,11,0,10,156.98012845155395
21,23,1,low_union,advantage,17,0,10,187.51396036691344
17,17,1,low_union,baseline,15,0,10,167.9872262016239
19,20,1,low_union,advantage,15,1,10,174.16612500413447
20,44,1,low_union,baseline,34,5,6,167.96586775541206
18,21,1,low_union,advantage,18,0,11,217.04556369017877
22,37,1,low_union,baseline,30,0,7,179.73005550524132
22,40,1,low_union,advantage,28,5,7,158.845781420882
21,30,1,low_union,baseline,24,0,8,196.45089824206377
17,14,1,low_union,advantage,12,0,10,155.58312700057957
17,21,1,low_union,baseline,18,1,10,184.17727190009512
19,24,1,low_union,advantage,20,0,8,140.8065975224045
18,19,1,low_union,baseline,16,0,9,153.43627902203139
23,40,1,low_union,advantage,31,1,8,183.93722471738246
19,39,1,low_union,baseline,29,6,8,194.7693315999082
22,33,1,low_union,advantage,25,1,9,183.4273656237994
15,11,1,low_union,baseline,11,0,11,177.6870343522352
18,19,1,low_union,advantage,16,0,10,173.97792608821422
19,24,1,low_union,baseline,20,0,8,150.42956019265145
19,24,1,low_union,advantage,18,2,9,165.60311583210583
18,26,1,low_union,baseline,21,2,8,170.78722458080426
21,44,1,low_union,advantage,34,4,6,201.1424445243783
17,18,1,low_union,baseline,16,0,11,186.87236579136922
18,26,1,low_union,advantage,22,1,8,144.73919689274533
17,20,1,low_union,baseline,17,1,10,186.4816793878959
23,32,1,low_union,advantage,23,1,9,172.29835439167368
19,22,1,low_union,baseline,17,1,10,166.46155999388083
19,20,1,low_union,advantage,16,0,10,192.23352577681734
20,30,1,low_union,baseline,24,1,10,200.61999044991902
20,31,1,low_union,advantage,23,3,10,198.62560238232396
23,47,1,low_union,baseline,35,4,6,163.21564953554724
18,23,1,low_union,advantage,19,1,10,173.8157524829757
21,43,1,low_union,baseline,32,5,7,186.62526862807127
19,32,1,low_union,advantage,25,3,8,199.51090254244718
22,41,1,low_union,baseline,32,2,7,170.4165152430942
23,43,1,low_union,advantage,32,3,6,176.28682046672367
18,24,1,low_union,baseline,19,2,9,157.87330051987942
16,11,1,low_union,advantage,10,0,10,156.0758675183866
17,20,1,low_union,baseline,18,0,10,196.25051644788397
19,22,1,low_union,advantage,18,0,11,207.12480057141647
19,22,1,low_union,baseline,18,0,10,178.55979756839332
19,28,1,low_union,advantage,23,1,10,200.07065795784047
23,46,1,low_union,baseline,35,3,7,187.2327205009527
17,14,1,low_union,advantage,12,0,10,167.0976049078975
15,14,1,low_union,baseline,12,2,11,187.2279121101683
22,35,1,low_union,advantage,26,2,10,210.76073132931938
17,18,1,low_union,baseline,15,1,10,179.28347921780096
17,17,1,low_union,advantage,15,0,11,211.29287311628013
22,26,1,low_union,baseline,18,1,8,127.6050979182051
19,28,1,low_union,advantage,24,0,9,196.43805008750448
18,24,1,low_union,baseline,21,0,9,181.74094136476342
20,33,1,low_union,advantage,25,3,8,174.01985299068264
23,43,1,low_union,baseline,33,2,6,181.83521553071006
21,29,1,low_union,advantage,23,0,7,140.24862170798215
19,25,1,low_union,baseline,20,2,9,175.60656224324975
22,32,1,low_union,advantage,25,0,8,187.14225143023492
18,27,1,low_union,baseline,21,3,10,209.55788089483033
18,17,1,low_union,advantage,13,1,10,169.63459563452705
18,18,1,low_union,baseline,15,0,10,163.83012794213624
25,48,1,low_union,advantage,34,4,6,169.96485912830926
19,24,1,low_union,baseline,19,1,10,198.30804235404148
22,38,1,low_union,advantage,30,1,8,186.5750221931937
18,19,1,low_union,baseline,16,0,10,169.40479592465923
22,31,1,low_union,advantage,22,2,9,190.26534866226712
18,26,1,low_union,baseline,21,2,9,181.9415509869608
18,28,1,low_union,advantage,22,3,10,199.37289981065777
21,31,1,low_union,baseline,22,3,10,165.95893812245296
19,33,1,low_union,advantage,26,3,8,173.44675706804463
18,15,1,low_union,baseline,12,0,11,172.15783693735685
20,30,1,low_union,advantage,24,1,7,150.72970103735764
21,34,1,low_union,baseline,25,3,9,185.9224055412915
21,40,1,low_union,advantage,29,5,8,185.2211054435978
20,32,1,low_union,baseline,26,1,7,180.10226913284922
19,28,1,low_union,advantage,23,1,9,175.30825733249705
18,21,1,low_union,baseline,18,0,9,151.6925851589917
17,15,1,low_union,advantage,13,0,11,171.58709354469283
18,23,1,low_union,baseline,18,2,9,173.14570966946462
19,24,1,low_union,advantage,19,1,9,163.9544546155676
19,22,1,low_union,baseline,18,1,10,176.7742857666798
19,35,1,low_union,advantage,29,2,7,188.08101713629077
19,23,1,low_union,baseline,18,1,9,217.7237180242106
18,23,1,low_union,advantage,20,0,8,183.49155625663678
20,26,1,low_union,baseline,21,0,8,185.15100781445528
23,28,1,low_union,advantage,20,0,9,178.51108168467667
16,16,1,low_union,baseline,15,0,9,141.62457569401917
22,40,1,low_union,advantage,31,2,7,179.46972249101566
21,34,1,low_union,baseline,26,2,9,181.20460419882053
19,27,1,low_union,advantage,22,1,11,229.26484224970574
21,43,1,low_union,baseline,31,6,7,176.15278070437756
24,47,1,low_union,advantage,35,3,7,186.03094684667224
17,17,1,low_union,baseline,15,0,10,179.30576460589512
18,31,1,low_union,advantage,25,3,8,156.62643924760937
17,25,1,low_union,baseline,21,2,9,202.8564562903004
19,27,1,low_union,advantage,23,0,10,195.0386606537355
19,31,1,low_union,baseline,25,2,8,195.82063894086093
18,15,1,low_union,advantage,12,0,10,161.8122509041052
25,54,1,low_union,baseline,40,4,7,208.05588621872198
17,19,1,low_union,advantage,16,1,10,151.96297874415438
21,44,1,low_union,baseline,31,7,7,191.7371418760054
26,38,1,low_union,advantage,26,1,10,223.80911251619958
21,36,1,low_union,baseline,29,1,7,160.18927349738624
17,19,1,low_union,advantage,17,0,8,168.67404540794456
18,25,1,low_union,baseline,21,1,8,181.99302730175282
19,22,1,low_union,advantage,17,1,8,169.930486917676
16,14,1,low_union,baseline,12,1,10,148.98673137867735
16,18,1,low_union,advantage,16,1,9,181.37125949612056
17,20,1,low_union,baseline,18,0,9,158.7539257254779
20,35,1,low_union,advantage,29,1,8,189.47184861270364
21,23,1,low_union,baseline,17,0,9,161.61151531532394
20,30,1,low_union,advantage,21,4,10,210.9986881003508
20,26,1,low_union,baseline,20,1,10,164.33493415327527
24,45,1,low_union,advantage,31,5,7,173.55876967588648
16,22,1,low_union,baseline,19,2,10,196.2703443473934
26,39,1,low_union,advantage,28,0,8,155.3827136713209
24,44,1,low_union,baseline,32,3,8,184.5491986920826
21,33,1,low_union,advantage,26,1,10,206.14285508564856
20,32,1,low_union,baseline,24,3,8,147.85033530877544
17,19,1,low_union,advantage,17,0,8,183.69267717064608
22,45,1,low_union,baseline,35,3,7,185.19765588496847
22,33,1,low_union,advantage,25,1,8,195.63645743554622
17,17,1,low_union,baseline,15,0,10,155.26098578243835
17,21,1,low_union,advantage,18,1,8,153.59086773831447
25,50,1,low_union,baseline,37,3,6,190.43883131233795
24,37,1,low_union,advantage,26,2,8,185.93969346466372
18,31,1,low_union,baseline,26,2,9,185.00985700691754
17,17,1,low_union,advantage,15,0,11,186.9289641899395
17,19,1,low_union,baseline,16,1,9,166.3995055684302
19,23,1,low_union,advantage,18,1,9,184.64507394322007
24,34,1,low_union,baseline,24,1,9,185.86144946597364
23,37,1,low_union,advantage,27,2,8,165.71297163947264
17,27,1,low_union,baseline,23,2,9,217.31549022289514
17,19,1,low_union,advantage,17,0,9,189.47665841823576
18,20,1,low_union,baseline,16,1,9,156.17393005594704
23,38,1,low_union,advantage,28,2,9,193.1310721726766
20,33,1,low_union,baseline,27,1,7,160.50636659545358
21,36,1,low_union,advantage,28,2,8,195.74169207484903
19,29,1,low_union,baseline,24,1,10,203.17191158014808
24,32,1,low_union,advantage,21,2,8,163.5863536329658
16,22,1,low_union,baseline,20,1,10,199.26752258488642
21,39,1,low_union,advantage,30,3,8,188.25561853872998
22,34,1,low_union,baseline,26,1,10,196.4412031998898
21,34,1,low_union,advantage,27,1,8,217.93585965307895
18,19,1,low_union,baseline,16,0,10,175.0922376799426
19,15,1,low_union,advantage,11,0,10,164.9252767128502
18,29,1,low_union,baseline,24,2,8,162.20971140748952
18,21,1,low_union,advantage,18,0,9,163.68379430069123
17,14,1,low_union,baseline,12,0,11,178.4579658117179
27,40,0,low_union,advantage,27,1,7,186.82303949633288
19,26,1,low_union,baseline,21,1,10,185.5338159866004
23,38,1,low_union,advantage,29,1,9,196.54366498072048
18,32,1,low_union,baseline,24,5,8,180.26003783755814
21,35,1,low_union,advantage,27,2,10,209.07068154314635
21,42,1,low_union,baseline,31,5,7,174.70686333524088
25,49,1,low_union,advantage,37,2,10,234.40338333179238
23,46,1,low_union,baseline,35,3,7,192.51334695530014
21,46,1,low_union,advantage,35,5,6,162.85684887167434
21,33,1,low_union,baseline,27,0,7,158.58215003877774
21,33,1,low_union,advantage,26,1,7,189.6494483048637
17,30,1,low_union,baseline,25,3,7,175.530744293483
20,25,1,low_union,advantage,18,2,10,194.28000988184183
18,24,1,low_union,baseline,21,1,7,189.4647524914709
20,23,1,low_union,advantage,17,1,8,178.54342174686255
18,23,1,low_union,baseline,19,1,9,163.0641256386319
19,27,1,low_union,advantage,22,1,7,149.7030555062827
18,18,1,low_union,baseline,13,2,10,171.06970095865958
20,24,1,low_union,advantage,18,1,9,197.12797588646944
18,24,1,low_union,baseline,21,0,8,184.2818748826041
25,48,1,low_union,advantage,34,4,6,155.08522442576023
23,32,1,low_union,baseline,23,1,9,183.46361851702363
23,42,1,low_union,advantage,32,2,7,187.70634759457673
18,21,1,low_union,baseline,18,0,8,162.32285127597734
27,43,0,low_union,advantage,29,2,5,183.07450211891054
22,37,1,low_union,baseline,28,2,8,181.16417436892
17,19,1,low_union,advantage,15,2,10,157.14059404338752
18,30,1,low_union,baseline,26,1,7,187.15574720696566
18,21,1,low_union,advantage,17,1,11,191.2156905273647
17,26,1,low_union,baseline,22,2,8,201.66102486350553
21,31,1,low_union,advantage,24,1,9,201.07604104069804
17,18,1,low_union,baseline,16,0,8,152.44661264085818
18,16,1,low_union,advantage,13,0,10,161.24349920169755
18,23,1,low_union,baseline,19,1,9,190.3007053441732
26,44,1,low_union,advantage,33,0,8,190.2757190182442
22,34,1,low_union,baseline,25,2,9,190.30095372612095
21,36,1,low_union,advantage,28,2,11,257.05462981309444
20,30,1,low_union,baseline,25,0,8,191.41781021386333
20,30,1,low_union,advantage,24,1,9,202.71131280361197
15,11,1,low_union,baseline,11,0,11,199.08003526986406
23,48,1,low_union,advantage,36,4,7,193.02782502611595
20,28,1,low_union,baseline,22,1,10,173.6946151071931
19,31,1,low_union,advantage,25,2,10,195.17938440986535
22,36,1,low_union,baseline,27,2,7,164.54349570924856
18,24,1,low_union,advantage,20,1,10,175.26362786519982
20,31,1,low_union,baseline,24,2,8,170.29272904341792
16,18,1,low_union,advantage,16,1,10,181.63748278772644
16,26,1,low_union,baseline,21,4,9,226.29317133347018
19,18,1,low_union,advantage,14,0,9,142.65469614816504
17,15,1,low_union,baseline,13,0,11,193.72520380749026
21,41,1,low_union,advantage,31,4,5,147.74568257620697
17,14,1,low_union,baseline,12,0,11,170.56136268421133
16,14,1,low_union,advantage,12,1,11,201.77901193934733
20,45,1,low_union,baseline,35,5,6,181.28560038190926
21,27,1,low_union,advantage,21,0,9,158.4451044414139
17,19,1,low_union,baseline,17,0,9,165.69392581480065
20,36,1,low_union,advantage,26,5,9,193.5919549786935
15,10,1,low_union,baseline,10,0,10,165.39266736565727
17,27,1,low_union,advantage,22,3,9,184.3291717916395
